time(ms),Red,IR
3950.052796,3327.6875,7754.0625
3957.874272,3331.0,7759.4375
3965.695748,3330.9375,7764.9375
3973.517224,3332.4375,7769.625
3981.3387,3334.5,7776.125
3989.160176,3333.75,7782.625
3996.981652,3336.5,7785.8125
4004.803128,3338.5,7791.8125
4012.624604,3338.8125,7798.25
4020.44608,3341.4375,7803.875
4028.267556,3341.625,7808.4375
4036.089032,3341.9375,7814.75
4043.910508,3344.8125,7817.125
4051.731984,3345.125,7825.9375
4059.55346,3346.625,7831.5
4067.374936,3347.4375,7835.4375
4075.196412,3348.5625,7839.0625
4083.017888,3347.625,7843.625
4090.839364,3350.375,7850.6875
4098.66084,3351.3125,7856.6875
4106.482316,3351.6875,7860.4375
4114.303792,3354.5625,7864.625
4122.125268,3354.5625,7869.125
4129.946744,3355.4375,7875.0625
4137.76822,3357.1875,7879.875
4145.589696,3356.8125,7888.1875
4153.411172,3359.625,7896.125
4161.232648,3362.1875,7897.9375
4169.054124,3361.4375,7905.4375
4176.8756,3362.75,7911.875
4184.697076,3365.6875,7916.0
4192.518552,3365.0625,7923.75
4200.340028,3367.1875,7928.4375
4208.161504,3367.625,7930.375
4215.98298,3367.875,7934.0
4223.804456,3367.5625,7931.3125
4231.625932,3363.0,7917.9375
4239.447408,3359.3125,7897.1875
4247.268884,3349.125,7862.8125
4255.09036,3338.5,7819.125
4262.911836,3325.5,7767.6875
4270.733312,3311.8125,7712.125
4278.554788,3300.75,7661.3125
4286.376264,3287.1875,7608.625
4294.19774,3277.125,7560.8125
4302.019216,3267.6875,7518.375
4309.840692,3259.6875,7482.75
4317.662168,3254.5,7455.5625
4325.483644,3246.4375,7432.4375
4333.30512,3245.5,7416.0625
4341.126596,3243.625,7404.0
4348.948072,3241.1875,7392.8125
4356.769548,3240.3125,7388.6875
4364.591024,3239.125,7387.4375
4372.4125,3241.625,7386.9375
4380.233976,3241.75,7390.0625
4388.055452,3241.9375,7393.375
4395.876928,3244.1875,7397.1875
4403.698404,3245.25,7403.75
4411.51988,3246.8125,7410.25
4419.341356,3249.125,7414.875
4427.162832,3250.6875,7422.9375
4434.984308,3251.375,7428.1875
4442.805784,3255.5,7438.125
4450.62726,3256.5625,7446.4375
4458.448736,3257.8125,7456.75
4466.270212,3262.0625,7469.5625
4474.091688,3265.1875,7480.4375
4481.913164,3268.4375,7495.0
4489.73464,3272.1875,7510.8125
4497.556116,3273.9375,7527.875
4505.377592,3277.9375,7539.0
4513.199068,3280.5,7553.375
4521.020544,3284.125,7563.9375
4528.84202,3286.375,7576.0625
4536.663496,3287.6875,7583.25
4544.484972,3288.875,7586.875
4552.306448,3290.125,7594.5625
4560.127924,3290.25,7596.9375
4567.9494,3289.0,7594.4375
4575.770876,3289.8125,7596.8125
4583.592352,3288.625,7592.3125
4591.413828,3288.875,7587.6875
4599.235304,3287.625,7588.125
4607.05678,3287.125,7587.3125
4614.878256,3286.25,7584.3125
4622.699732,3286.5,7582.625
4630.521208,3286.375,7583.25
4638.342684,3284.5,7583.0
4646.16416,3286.625,7584.875
4653.985636,3286.6875,7585.875
4661.807112,3286.25,7588.625
4669.628588,3289.75,7591.0
4677.450064,3287.8125,7595.1875
4685.27154,3288.375,7597.5625
4693.093016,3290.0625,7603.125
4700.914492,3289.75,7609.25
4708.735968,3293.375,7612.75
4716.557444,3294.625,7618.125
4724.37892,3295.1875,7620.75
4732.200396,3295.5625,7628.1875
4740.021872,3297.5625,7634.75
4747.843348,3298.1875,7639.9375
4755.664824,3299.25,7649.0625
4763.4863,3302.25,7653.75
4771.307776,3302.4375,7658.9375
4779.129252,3302.8125,7666.0
4786.950728,3304.1875,7670.625
4794.772204,3306.9375,7678.6875
4802.59368,3308.9375,7685.5625
4810.415156,3308.0625,7691.3125
4818.236632,3312.0625,7699.125
4826.058108,3312.625,7706.3125
4833.879584,3313.875,7711.1875
4841.70106,3315.9375,7718.75
4849.522536,3317.875,7726.25
4857.344012,3318.5625,7730.75
